671	100	722	159
576	249	634	254
246	256	276	286
354	441	393	477
652	448	687	488
97	392	131	425
276	333	336	371
55	453	102	513
122	250	145	268
279	605	301	655
648	532	695	564
399	198	422	206
81	640	116	692
31	298	52	325
126	32	140	61
167	100	213	153
676	421	698	435
40	164	76	181
628	407	659	414
326	233	358	287
126	82	142	91
667	51	691	65
127	130	147	150
52	547	109	580
388	129	444	189
91	658	101	716
420	497	469	545
553	19	595	40
477	57	492	68
160	519	194	526
423	178	433	237
227	189	241	210
645	377	705	394
37	378	53	428
660	258	707	290
237	97	281	144
675	289	704	305
540	297	565	319
582	378	625	428
519	407	530	432
28	265	53	278
602	548	662	583
36	148	54	183
631	676	659	700
549	38	567	78
8	592	16	612
601	138	658	198
548	48	608	91
510	534	525	562
0	583	18	603
157	264	165	270
551	401	571	430
359	257	395	303
429	597	464	608
22	685	45	691
145	307	188	340
478	70	520	101
438	595	454	601
511	656	536	716
106	467	165	492
330	251	381	306
524	419	543	469
460	263	516	315
526	526	571	574
439	10	451	28
118	241	178	283
401	589	425	633
53	88	59	95
645	460	700	507
647	489	673	522
278	144	303	171
358	245	413	300
75	530	129	575
208	105	213	141
681	127	704	182
236	277	250	325
165	114	213	126
436	675	449	692
208	680	264	730
434	345	485	356
197	189	225	214
246	121	289	155
472	351	510	407
394	481	414	501
160	134	192	189
300	329	311	353
439	347	474	381
251	287	270	318
260	322	299	351
653	414	678	464
111	449	131	477
476	577	494	595
601	538	626	546
80	56	88	76
661	644	691	696
192	336	202	346
370	128	408	186
216	543	269	570
146	415	162	427
183	116	226	159
